Insult,ID,Comment
1,1,you fuck your dad
0,2,really do not understand your point it seems that you are mixing apples and oranges
0,3,majority of canadians can and has been wrong before now and will be again unless you are supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them is the breaks and we can always regard you as collateral damage like in wartime and sorry but the cheques in the mail
0,4,listen if you dont wanna get married to man or women dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people
0,5,xu ng ng bi you nh xf ho kh ng ng ng cu you chi nh xf ho kh ng ng gi edf giang th xf ho kh ng cu th ch ng ta bi ai ng you chu ng ho nh nh ng khi ho nh ch th sau chi tranh th kh ng con ng ch kh you ng th
0,6,@name ok but would hope they sign him to one-year contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits
0,7,yeah and where are you
1,8,shut the fuck up you and the rest of your faggot friends should be burned at the stake
1,9,either you are fake or extremely stupid maybe both
1,10,that you are an idiot who understands neither taxation nor women is health
0,11,@name dont wish him injury but it happened on its own and doubt he is injured he looked embarrassed to me
0,12,be careful jimbo og has fork with your name on it
0,13,@name or they just do not pay attention
0,14,hmmm perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who idk stream of consciousnees thought after looking at her
0,15,@name her income was her spending was my math puts that at
1,16,for some reason you sound retarded lol damn where you been negro
1,17,you with the racist screen name you are pieceofshit
0,18,oh cheating as well cup was cheat fest you still dare to post that comment shame on you lol
1,19,your such dickhead
1,20,your retard go post your head up your #%&*
0,21,@name makes you want to say mike
0,22,
0,23,and you know they have burned holes in all the carpeting
0,24,you are land creature you would drown
0,25,to all those doom-and-gloomers the chicken-littles who claim the sky is falling and that society is collapsing canada has had gay marriage nationwide for years where is the where is the collapse and the persecution you are shouting where is please show us some examples because it is starting to look like your threats and fears and warnings are nothing but hot air
0,26,craig we have been saying from the start that this is very entertaining show it awakens the horny little goth in me met my boyfriend during the first season and one of the first thing we did was watch ahs at my house know he likes me and all but to this day he is sure am far creepier and kinkier than he could ever be thanks american horror story sweet clam loves you
0,27,strange you are talking about that when there were chelsea fans in here belittling the community shield
0,28,but how would you actually get the key
0,29,oh cool some more internet points for your collection
0,30,even though think there are better coaches out there am glad del negro is keeping his job never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in row
0,31,russellpiano hmmmm how can we spin obama honoring vietnam troops as something does not matter look at our followers they will take anything obama hmmm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york know lets have bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first we will have to clear all the vets out of the immediate area because they can not be trusted
0,32,good article which for all the good it will do could have been delivered to brick wall
0,33,head is up warning another source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like blow-up doll with red lips and perfectly round mouth if you know what mean if you have progressive auto insurance just know that part of your premium is going to fund progressive liberal organization hell bent on destroying our country and our free speech their mission is to bring down hannity beck dobbs lavin limbaugh boortz etc we must not let them win
0,34,@name lol as if capcom listens watch them fuck this up too hope am wrong love okami
1,35,allinit your hypocrisy is sickening you ignorant loser
0,36,fast furious did not work out like they planned did
0,37,mitt isn the best candidate for president but going against the worst candidate ever should help him tremendously lol obama is one and done it could happen no other way
1,38,can not believe the stupid people on this site that have no idea what is going on you fools you are all useful idiots they are hiding the truth because you fools who protect him would look like the useful idiots you are
1,39,fucking behave then you prick
0,40,the only other relevant fact is that he is destroying america
0,41,you are liar
